綜合,#genre#
民視,http://37.128.252.61:5000/4gtv/3
民視第一台,http://37.128.252.61:5000/4gtv/1
民視台灣台,http://37.128.252.61:5000/4gtv/2
中視,http://37.128.252.61:5000/4gtv/4
中視菁采台,http://37.128.252.61:5000/4gtv/123
華視,http://37.128.252.61:5000/4gtv/6
靖天綜合台,http://37.128.252.61:5000/4gtv/21
靖天國際台,http://37.128.252.61:5000/4gtv/84
靖天日本台,http://37.128.252.61:5000/4gtv/22
三立綜合台,http://37.128.252.61:5000/4gtv/169
台視,http://37.128.252.61:5000/4gtv/4gtv-4gtv066
Arirang TV,http://37.128.252.61:5000/4gtv/189
Bloomberg TV,http://37.128.252.61:5000/4gtv/283

新聞財經,#genre#
民視新聞台,http://37.128.252.61:5000/4gtv/31
中視新聞台,http://37.128.252.61:5000/4gtv/33
中天新聞台,http://37.128.252.61:5000/4gtv/30
華視新聞,http://37.128.252.61:5000/4gtv/34
靖天資訊台,http://37.128.252.61:5000/4gtv/88
寰宇新聞台,http://37.128.252.61:5000/4gtv/36
寰宇新聞台灣台,http://37.128.252.61:5000/4gtv/280
寰宇財經台,http://37.128.252.61:5000/4gtv/281
TVBS 新聞台,http://37.128.252.61:5000/4gtv/291
三立新聞,http://37.128.252.61:5000/4gtv/229
台視新聞台,http://37.128.252.61:5000/4gtv/4gtv-4gtv051
台視財經台,http://37.128.252.61:5000/4gtv/4gtv-4gtv056
東森新聞,http://37.128.252.61:5000/4gtv/292
東森財經新聞,http://37.128.252.61:5000/4gtv/293
非凡新聞台,http://37.128.252.61:5000/4gtv/4gtv-4gtv010
鏡電視新聞台,http://37.128.252.61:5000/4gtv/268
CNBC Asia 財經台,http://37.128.252.61:5000/4gtv/235
VOA 美國之音,http://37.128.252.61:5000/4gtv/86
DW德國之聲,http://37.128.252.61:5000/4gtv/226
SBN 全球財經台,http://37.128.252.61:5000/4gtv/224
半島國際新聞台,http://37.128.252.61:5000/4gtv/85
第1商業台,http://37.128.252.61:5000/4gtv/4gtv-4gtv104

電影戲劇,#genre#
民視影劇台,http://37.128.252.61:5000/4gtv/24
中視經典台,http://37.128.252.61:5000/4gtv/124
靖天戲劇台,http://37.128.252.61:5000/4gtv/116
靖天電影台,http://37.128.252.61:5000/4gtv/82
龍華戲劇台,http://37.128.252.61:5000/4gtv/23
龍華經典台,http://37.128.252.61:5000/4gtv/litv-longturn21
龍華電影台,http://37.128.252.61:5000/4gtv/121
靖洋戲劇台,http://37.128.252.61:5000/4gtv/118
TVBS 台劇台,http://37.128.252.61:5000/4gtv/285
影迷數位紀實台,http://37.128.252.61:5000/4gtv/212
影迷數位電影台,http://37.128.252.61:5000/4gtv/40
