地方频道,#genre#
广东卫视,https://www.gdtv.cn/tvChannelDetail/43
广东珠江,https://www.gdtv.cn/tvChannelDetail/44
广东新闻,https://www.gdtv.cn/tvChannelDetail/45
广东民生,https://www.gdtv.cn/tvChannelDetail/48
广东体育,https://www.gdtv.cn/tvChannelDetail/47
大湾区卫视,https://www.gdtv.cn/tvChannelDetail/51
大湾区卫视海外,https://www.gdtv.cn/tvChannelDetail/46
广东经济科教,https://www.gdtv.cn/tvChannelDetail/49
广东影视,https://www.gdtv.cn/tvChannelDetail/53
广东4K超高清,https://www.gdtv.cn/tvChannelDetail/16
广东少儿,https://www.gdtv.cn/tvChannelDetail/54
广东嘉禾卡通,https://www.gdtv.cn/tvChannelDetail/66
广东岭南戏曲,https://www.gdtv.cn/tvChannelDetail/15
广东现代教育,https://www.gdtv.cn/tvChannelDetail/13
广东移动,https://www.gdtv.cn/tvChannelDetail/74
广东荔枝台,https://www.gdtv.cn/tvChannelDetail/100
广东记录片,https://www.gdtv.cn/tvChannelDetail/94
广东健康频道,https://www.gdtv.cn/tvChannelDetail/99
广东文化频道,https://www.gdtv.cn/tvChannelDetail/75
广东生活频道,https://www.gdtv.cn/tvChannelDetail/102
广东教育频道,https://www.gdtv.cn/tvChannelDetail/104
