
看电视,#genre#

CCTV-1综合,http://255.255.255.255/0.m3u8
CCTV-2财经,http://255.255.255.255/0.m3u8
CCTV-3综艺,http://255.255.255.255/0.m3u8
CCTV-4国际,http://255.255.255.255/0.m3u8
CCTV-5体育,http://255.255.255.255/0.m3u8
CCTV-6电影,http://255.255.255.255/0.m3u8
CCTV-7军事,http://255.255.255.255/0.m3u8
CCTV-8电视,http://255.255.255.255/0.m3u8
CCTV-9纪录,http://255.255.255.255/0.m3u8
CCTV-10科教,http://255.255.255.255/0.m3u8
CCTV-11戏曲,http://255.255.255.255/0.m3u8
CCTV-12社法,http://255.255.255.255/0.m3u8
CCTV-13新闻,http://255.255.255.255/0.m3u8
CCTV-14少儿,http://255.255.255.255/0.m3u8
CCTV-15音乐,http://255.255.255.255/0.m3u8
CCTV-16奥匹,http://255.255.255.255/0.m3u8
CCTV-17农村,http://255.255.255.255/0.m3u8
凤凰卫视,http://ax.micaesoft.com/YMitv/YMITV_CN_ifengNEW.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
北京卫视,http://255.255.255.255/0.m3u8
天津卫视,http://255.255.255.255/0.m3u8
上海卫视,http://255.255.255.255/0.m3u8
重庆卫视,http://255.255.255.255/0.m3u8
深圳卫视,http://255.255.255.255/0.m3u8
福建卫视,http://255.255.255.255/0.m3u8
湖南卫视,http://255.255.255.255/0.m3u8
湖北卫视,http://255.255.255.255/0.m3u8
河南卫视,http://255.255.255.255/0.m3u8
河北卫视,http://255.255.255.255/0.m3u8
云南卫视,http://tvlive.ynradio.com/live/yunnanweishi/chunks.m3u8
海南卫视,http://255.255.255.255/0.m3u8
三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
广东卫视,http://255.255.255.255/0.m3u8
广西卫视,http://255.255.255.255/0.m3u8
山东卫视,http://255.255.255.255/0.m3u8
山西卫视,http://255.255.255.255/0.m3u8
陕西卫视,http://255.255.255.255/0.m3u8
江西卫视,http://255.255.255.255/0.m3u8
江苏卫视,http://255.255.255.255/0.m3u8
浙江卫视,http://255.255.255.255/0.m3u8
安徽卫视,http://255.255.255.255/0.m3u8
贵州卫视,http://255.255.255.255/0.m3u8
四川卫视,http://255.255.255.255/0.m3u8
吉林卫视,http://255.255.255.255/0.m3u8
辽宁卫视,http://255.255.255.255/0.m3u8
宁夏卫视,http://255.255.255.255/0.m3u8
甘肃卫视,http://255.255.255.255/0.m3u8
新疆卫视,http://255.255.255.255/0.m3u8
兵团卫视,http://255.255.255.255/0.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-28bc40431485/index.m3u8
西藏卫视,http://255.255.255.255/0.m3u8
黑龙江卫视,http://255.255.255.255/0.m3u8
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880



CCTV-1综合,http://221.213.70.18:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2财经,http://221.213.70.18:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-3综艺,http://221.213.70.18:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-4国际,http://221.213.70.18:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5体育,http://221.213.70.18:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-6电影,http://221.213.70.18:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-7军事,http://221.213.70.18:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-8电视,http://221.213.70.18:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-9纪录,http://221.213.70.18:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-10科教,http://221.213.70.18:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-11戏曲,http://221.213.70.18:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-12社法,http://221.213.70.18:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-13新闻,http://221.213.70.18:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-14少儿,http://221.213.70.18:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-15音乐,http://221.213.70.18:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
云南卫视,http://221.213.70.18:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://221.213.70.18:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0
上海卫视,http://221.213.70.18:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://221.213.70.18:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://221.213.70.18:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://221.213.70.18:9901/tsfile/live/0135_2.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://221.213.70.18:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://221.213.70.18:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://221.213.70.18:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁卫视,http://221.213.70.18:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://221.213.70.18:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://221.213.70.18:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
黑龙江卫视,http://221.213.70.18:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0
福建卫视,http://221.213.70.18:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://221.213.70.18:9901/tsfile/live/0138_2.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://221.213.70.18:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=0&authid=0
