秦岭云,#genre#
4K测试-24M2160HEVC,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000459/1.m3u8
BesTV4K-15M2160HEVC,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000196/1.m3u8
BesTV4K-34M2160HEVC,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000202/1.m3u8
BesTV体育赛事-8.5M1080,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000201/1.m3u8
BesTV云电竞-8.5M1080,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000180/1.m3u8
BesTV云电竞-8.5M1080,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000194/1.m3u8
BesTV中国戏曲-8.5M1080,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000181/1.m3u8
CCTV1(中国IPTV)-7.7M1080,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000131/1.m3u8
CCTV2-7.7M1080,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000372/1.m3u8
CCTV4-7.7M1080,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000485/1.m3u8
CCTV5+(中国IPTV)-7.7M1080,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000132/1.m3u8
CCTV7-7.7M1080,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000380/1.m3u8
CCTV9-7.7M1080,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000373/1.m3u8
CCTV10-7.7M1080,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000375/1.m3u8
CCTV11-7.7M1080,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000497/1.m3u8
CCTV12-7.7M1080,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000377/1.m3u8
CCTV13-7.7M1080,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000516/1.m3u8
CCTV14-7.7M1080,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000378/1.m3u8
CCTV15-7.7M1080,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000501/1.m3u8
