SmarTv,#genre#
RTHK32,http://php.jdshipin.com:8880/smt.php?id=rhk32_twn
RTHK31,http://php.jdshipin.com:8880/smt.php?id=rhk31_twn
凤凰卫视,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
无线财经资讯,http://php.jdshipin.com:8880/smt.php?id=tvbcaijing_twn
VIUTV1,http://php.jdshipin.com:8880/smt.php?id=viu1_twn
无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn
龙华戏剧,http://php.jdshipin.com:8880/smt.php?id=lunghuaxiju_twn
龙华偶像,http://php.jdshipin.com:8880/smt.php?id=lunghuaidol_twn
龙华卡通,http://php.jdshipin.com:8880/smt.php?id=jingtiancartoon_twn
非凡新闻,http://php.jdshipin.com:8880/smt.php?id=feifannews_twn
美亚电影,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
Arirang,http://php.jdshipin.com:8880/smt.php?id=arirang_twn
好莱坞电影,http://php.jdshipin.com:8880/smt.php?id=hollywoodmovies_twn
爱尔达体育2,http://php.jdshipin.com:8880/smt.php?id=eltasport2_twn
爱尔达体育1,http://php.jdshipin.com:8880/smt.php?id=eltasport_twn
民视新闻,http://php.jdshipin.com:8880/smt.php?id=ftvnew_taiwan
民视台湾,http://php.jdshipin.com:8880/smt.php?id=ftvtaiwan_twn
民视,http://php.jdshipin.com:8880/smt.php?id=ftvhd_taiwan
年代新闻,http://php.jdshipin.com:8880/smt.php?id=niandainews_twn
大爱1,http://php.jdshipin.com:8880/smt.php?id=daai_twn
博斯高球2,http://php.jdshipin.com:8880/smt.php?id=bosigolf2_twn
博斯运动2,http://php.jdshipin.com:8880/smt.php?id=bosisport2_twn
博斯运动1,http://php.jdshipin.com:8880/smt.php?id=bosisport1_twn
博斯网球,http://php.jdshipin.com:8880/smt.php?id=bositennis_twn
华视,http://php.jdshipin.com:8880/smt.php?id=ctshd_twn
公视,http://php.jdshipin.com:8880/smt.php?id=ctv_taiwan
八大综合,http://php.jdshipin.com:8880/smt.php?id=badazhonghe
中视新闻,http://php.jdshipin.com:8880/smt.php?id=zhongshinews_twn
中视,http://php.jdshipin.com:8880/smt.php?id=zhongshihd_twn
中天娱乐,http://php.jdshipin.com:8880/smt.php?id=ctient
中天亚洲,http://php.jdshipin.com:8880/smt.php?id=ctiasia_twn
东森超视,http://php.jdshipin.com:8880/smt.php?id=ettvsuper
东森戏剧,http://php.jdshipin.com:8880/smt.php?id=ettvdrama
三立综合,http://php.jdshipin.com:8880/smt.php?id=sanlizhonghe
三立戏剧,http://php.jdshipin.com:8880/smt.php?id=sanlixiju_twn
东森电影,http://php.jdshipin.com:8880/smt.php?id=ettvmovie
东森综合,http://php.jdshipin.com:8880/smt.php?id=ettvzhonghe
中天综合,http://php.jdshipin.com:8880/smt.php?id=ctizhonghe
八大综合,http://php.jdshipin.com:8880/smt.php?id=badazhonghe
八大戏剧,http://php.jdshipin.com:8880/smt.php?id=badadrama
八大第一,http://php.jdshipin.com:8880/smt.php?id=badafirst
小太阳,http://php.jdshipin.com:8880/smt.php?id=Xiaotaiyang
靖天卡通,http://php.jdshipin.com:8880/smt.php?id=jingtiancartoon_twn
靖天国际,http://php.jdshipin.com:8880/smt.php?id=jingtianintl_twn
TVBS News,http://php.jdshipin.com:8880/smt.php?id=tvbs_n
TVBS,http://php.jdshipin.com:8880/smt.php?id=tvbs
EYETV戏剧,http://php.jdshipin.com:8880/smt.php?id=eyetvxiju_twn
EYETV旅游,http://php.jdshipin.com:8880/smt.php?id=eyetvtravel_twn
TVBS欢乐,http://php.jdshipin.com:8880/smt.php?id=tvbshuanle_twn
Zee TV HD,http://php.jdshipin.com:8880/smt.php?id=Zeetvhd
Warner TV,http://php.jdshipin.com:8880/smt.php?id=WarnerTV
Viu6,http://php.jdshipin.com:8880/smt.php?id=viusix_twn
Vasantham,http://php.jdshipin.com:8880/smt.php?id=Vasantham
TvN,http://php.jdshipin.com:8880/smt.php?id=TVN
True Premium 2 HD,http://php.jdshipin.com:8880/smt.php?id=truepre2_pat
True Premium 1 HD,http://php.jdshipin.com:8880/smt.php?id=truepre1_pat
Transtv,http://php.jdshipin.com:8880/smt.php?id=Transtv
Trans 7,http://php.jdshipin.com:8880/smt.php?id=Trans7_eko
Tnn24,http://php.jdshipin.com:8880/smt.php?id=tnn24_pat
Thrill,http://php.jdshipin.com:8880/smt.php?id=Thrill
Tawaf TV,http://php.jdshipin.com:8880/smt.php?id=TawafTV
TVRI National,http://php.jdshipin.com:8880/smt.php?id=TVRI
TVMU,http://php.jdshipin.com:8880/smt.php?id=TVMU_eko
TV9,http://php.jdshipin.com:8880/smt.php?id=TV9
TV9 Indonesia,http://php.jdshipin.com:8880/smt.php?id=TV9_eko
TV8,http://php.jdshipin.com:8880/smt.php?id=TV8
TV3,http://php.jdshipin.com:8880/smt.php?id=TV3
TV3 backup,http://php.jdshipin.com:8880/smt.php?id=TV3_backup
TV2,http://php.jdshipin.com:8880/smt.php?id=TV2
TV1,http://php.jdshipin.com:8880/smt.php?id=TV1
TPTV,http://php.jdshipin.com:8880/smt.php?id=tptv_pat
TLC,http://php.jdshipin.com:8880/smt.php?id=Tlc
Suria,http://php.jdshipin.com:8880/smt.php?id=Suria
体育3,http://php.jdshipin.com:8880/smt.php?id=Assp3
体育2,http://php.jdshipin.com:8880/smt.php?id=Assp2
Sunnah HD,http://php.jdshipin.com:8880/smt.php?id=sunnah_mido
Sun Music,http://php.jdshipin.com:8880/smt.php?id=sunmusic_raj
Star Vijay,http://php.jdshipin.com:8880/smt.php?id=Starvijay
Star Vijay India,http://php.jdshipin.com:8880/smt.php?id=starvijay_raj
Sony Six HD,http://php.jdshipin.com:8880/smt.php?id=sonysix_raj
Sony HD,http://php.jdshipin.com:8880/smt.php?id=SetOne
Skynews,http://php.jdshipin.com:8880/smt.php?id=skynews_antik
SCTV,http://php.jdshipin.com:8880/smt.php?id=Sctv
SCM,http://php.jdshipin.com:8880/smt.php?id=Weishimovie
RTM Sports HD,http://php.jdshipin.com:8880/smt.php?id=Rtmsport
RCTI,http://php.jdshipin.com:8880/smt.php?id=Rcti
