星视界,#genre#
翡翠台,https://sxj.btjson.us.kg/histar.php?id=feicui
无线新闻台,https://sxj.btjson.us.kg/histar.php?id=tvb-news
TVB plus,https://sxj.btjson.us.kg/histar.php?id=tvb-plus
TVB plus,https://sxj.btjson.us.kg/histar.php?id=j2
黄金翡翠台,https://sxj.btjson.us.kg/histar.php?id=golden-jade
黄金华剧台,https://sxj.btjson.us.kg/histar.php?id=golden-chinese-drama
千禧经典台,https://sxj.btjson.us.kg/histar.php?id=tvb-classic
粤语片台,https://sxj.btjson.us.kg/histar.php?id=tvb-yueyu
星河台,https://sxj.btjson.us.kg/histar.php?id=tvb-xinghe
亚洲剧台,https://sxj.btjson.us.kg/histar.php?id=tvb-asia-drama
娱乐新闻台,https://sxj.btjson.us.kg/histar.php?id=ylxw
明珠台,https://sxj.btjson.us.kg/histar.php?id=pearl
华语剧台,https://sxj.btjson.us.kg/histar.php?id=tvb-drama
凤凰资讯,https://sxj.btjson.us.kg/histar.php?id=phtv-info
凤凰中文,https://sxj.btjson.us.kg/histar.php?id=phtv-cn
凤凰香港,https://sxj.btjson.us.kg/histar.php?id=phtv-hk
HOY 资讯台,https://sxj.btjson.us.kg/histar.php?id=hoy-info
HOY TV,https://sxj.btjson.us.kg/histar.php?id=hoytv
HOY国际财经,https://sxj.btjson.us.kg/histar.php?id=hoy-ibc
ViuTV,https://sxj.btjson.us.kg/histar.php?id=viutv
ViuTV6,https://sxj.btjson.us.kg/histar.php?id=viutv6
天映频道,https://sxj.btjson.us.kg/histar.php?id=celestial
天映经典,https://sxj.btjson.us.kg/histar.php?id=cccm
Thrill,https://sxj.btjson.us.kg/histar.php?id=thrill
星空卫视,https://sxj.btjson.us.kg/histar.php?id=star-xing-kong
香港卫视,https://sxj.btjson.us.kg/histar.php?id=hks
澳亚卫视,https://sxj.btjson.us.kg/histar.php?id=mastv
澳门卫视,https://sxj.btjson.us.kg/histar.php?id=mstv
澳门莲花卫视,https://sxj.btjson.us.kg/histar.php?id=lotustv
澳门资讯,https://sxj.btjson.us.kg/histar.php?id=tdm-information
澳视澳门,https://sxj.btjson.us.kg/histar.php?id=tdm
HKC 18台,https://sxj.btjson.us.kg/histar.php?id=hkc18
港台电视 31,https://sxj.btjson.us.kg/histar.php?id=rthk31
港台电视 32,https://sxj.btjson.us.kg/histar.php?id=rthk32

Now 财经台,https://sxj.btjson.us.kg/histar.php?id=now-finance
Now 爆谷台,https://sxj.btjson.us.kg/histar.php?id=baogu-movies
Now 星影台,https://sxj.btjson.us.kg/histar.php?id=now-baogu-superstars
Now 新闻台,https://sxj.btjson.us.kg/histar.php?id=now-news
Now 直播台,https://sxj.btjson.us.kg/histar.php?id=now-direct
Now报价台,https://sxj.btjson.us.kg/histar.php?id=now-data
Now jelli紫金国际台,https://sxj.btjson.us.kg/histar.php?id=now-jelli
Now华剧台,https://sxj.btjson.us.kg/histar.php?id=now-chinese-drama
HBO Now115,https://sxj.btjson.us.kg/histar.php?id=Now-HBO
Now HBO Hits,https://sxj.btjson.us.kg/histar.php?id=now-hbo-hits
Now HBO Family,https://sxj.btjson.us.kg/histar.php?id=now-hbof-amily
Now HBO Signature,https://sxj.btjson.us.kg/histar.php?id=now-hbo-signature
MovieMovie,https://sxj.btjson.us.kg/histar.php?id=moviemovie
NowViu剧集台,https://sxj.btjson.us.kg/histar.php?id=now-viu-drama
Now Sports 641,https://sxj.btjson.us.kg/histar.php?id=now-sports641
Now NBA TV,https://sxj.btjson.us.kg/histar.php?id=now-nba
now-sports-618,https://sxj.btjson.us.kg/histar.php?id=now-sports-618
now-sports-619,https://sxj.btjson.us.kg/histar.php?id=now-sports-619
Now Sports精选,https://sxj.btjson.us.kg/histar.php?id=now-sports-prime
Now Sports 1,https://sxj.btjson.us.kg/histar.php?id=now-sports-1
Now Sports 2,https://sxj.btjson.us.kg/histar.php?id=now-sports-2
Now Sports 3,https://sxj.btjson.us.kg/histar.php?id=now-sports-3
Now Sports 4,https://sxj.btjson.us.kg/histar.php?id=now-sports-4
Now Sports 5,https://sxj.btjson.us.kg/histar.php?id=now-sports-5
Now Sports 6,https://sxj.btjson.us.kg/histar.php?id=now-sports-6
Now Sports 7,https://sxj.btjson.us.kg/histar.php?id=now-sports-7
Now Sports Plus,https://sxj.btjson.us.kg/histar.php?id=now-sports-plus
Now Sports 英超1,https://sxj.btjson.us.kg/histar.php?id=now-sports-premier-league1
Now Sports 英超2,https://sxj.btjson.us.kg/histar.php?id=now-sports-premier-league2
Now Sports 英超3,https://sxj.btjson.us.kg/histar.php?id=now-sports-premier-league3
Now Sports 英超4,https://sxj.btjson.us.kg/histar.php?id=now-sports-premier-league4
Now Sports 英超5,https://sxj.btjson.us.kg/histar.php?id=now-sports-premier-league5
Now Sports 英超6,https://sxj.btjson.us.kg/histar.php?id=now-sports-premier-league6
Now beIN SPORTS 1,https://sxj.btjson.us.kg/histar.php?id=now-bein-sports1
Now beIN SPORTS 2,https://sxj.btjson.us.kg/histar.php?id=now-bein-sports2
Now beIN SPORTS 3,https://sxj.btjson.us.kg/histar.php?id=now-bein-sports3
Now 668,https://sxj.btjson.us.kg/histar.php?id=now-668
Now Golf 2,https://sxj.btjson.us.kg/histar.php?id=now-golf2
Now Golf 3,https://sxj.btjson.us.kg/histar.php?id=now-golf3

民视,https://sxj.btjson.us.kg/histar.php?id=ftv
民视台湾台,https://sxj.btjson.us.kg/histar.php?id=ftv-tw
民视第一台,https://sxj.btjson.us.kg/histar.php?id=ftv-one
纬来日本,https://sxj.btjson.us.kg/histar.php?id=videoland-japan
纬来综合,https://sxj.btjson.us.kg/histar.php?id=videoland
八大综合,https://sxj.btjson.us.kg/histar.php?id=gtv28
八大第一,https://sxj.btjson.us.kg/histar.php?id=gtv27
TVBS 精采台,https://sxj.btjson.us.kg/histar.php?id=tvbs-jc
TVBS 欢乐台,https://sxj.btjson.us.kg/histar.php?id=tvbs-huanle
TVBS Asia,https://sxj.btjson.us.kg/histar.php?id=tvbs-asia
三立台湾台,https://sxj.btjson.us.kg/histar.php?id=settv-taiwan
三立综合台,https://sxj.btjson.us.kg/histar.php?id=settv-zonghe
台视,https://sxj.btjson.us.kg/histar.php?id=ttv
东森超视,https://sxj.btjson.us.kg/histar.php?id=ebc-super
东森综合台,https://sxj.btjson.us.kg/histar.php?id=ebc-ettv
中视,https://sxj.btjson.us.kg/histar.php?id=ctv
中视菁采台,https://sxj.btjson.us.kg/histar.php?id=bravo
中天亚洲,https://sxj.btjson.us.kg/histar.php?id=cti-asia
中天综合,https://sxj.btjson.us.kg/histar.php?id=ctitv36
华视,https://sxj.btjson.us.kg/histar.php?id=cts
LiveABC 互动英语频道,https://sxj.btjson.us.kg/histar.php?id=liveabc
好消息,https://sxj.btjson.us.kg/histar.php?id=goodtv
KLT-靖天国际台,https://sxj.btjson.us.kg/histar.php?id=jtgj
ELTA综合台,https://sxj.btjson.us.kg/histar.php?id=elta-zonghe
公视,https://sxj.btjson.us.kg/histar.php?id=pts
公视3台,https://sxj.btjson.us.kg/histar.php?id=pts-3
公视台语台,https://sxj.btjson.us.kg/histar.php?id=pts-ty
靖天综合台,https://sxj.btjson.us.kg/histar.php?id=jtzh
靖天日本台,https://sxj.btjson.us.kg/histar.php?id=jtrb
客家电视台,https://sxj.btjson.us.kg/histar.php?id=hakkatv
大爱一台,https://sxj.btjson.us.kg/histar.php?id=daai1
大爱二台,https://sxj.btjson.us.kg/histar.php?id=daai2
ARIRANG 阿里郎频道,https://sxj.btjson.us.kg/histar.php?id=arirang

中天新闻,https://sxj.btjson.us.kg/histar.php?id=cti-news
TVBS 新闻台,https://sxj.btjson.us.kg/histar.php?id=tvbs-news
TVBS HD,https://sxj.btjson.us.kg/histar.php?id=tvbs-hd
东森新闻,https://sxj.btjson.us.kg/histar.php?id=ebc-news
东森财经新闻,https://sxj.btjson.us.kg/histar.php?id=ebc-finance
寰宇新闻台,https://sxj.btjson.us.kg/histar.php?id=global-news
寰宇财经台,https://sxj.btjson.us.kg/histar.php?id=global-finance
寰宇新闻台湾台,https://sxj.btjson.us.kg/histar.php?id=global-news-tw
壹新闻 HD,https://sxj.btjson.us.kg/histar.php?id=nexttv
三立新闻,https://sxj.btjson.us.kg/histar.php?id=settv-news
三立iNews,https://sxj.btjson.us.kg/histar.php?id=settv-inews
中视新闻,https://sxj.btjson.us.kg/histar.php?id=ctv-news
非凡新闻,https://sxj.btjson.us.kg/histar.php?id=unique-business-news
年代新闻,https://sxj.btjson.us.kg/histar.php?id=era-news
民视新闻台,https://sxj.btjson.us.kg/histar.php?id=ftv-news
台视新闻,https://sxj.btjson.us.kg/histar.php?id=ttv-news
镜电视新闻台,https://sxj.btjson.us.kg/histar.php?id=mnews
华视新闻,https://sxj.btjson.us.kg/histar.php?id=cts-news
半岛国际新闻台,https://sxj.btjson.us.kg/histar.php?id=aljazeera
SBN 全球财经台,https://sxj.btjson.us.kg/histar.php?id=sbn
靖天资讯台,https://sxj.btjson.us.kg/histar.php?id=jtzx

纬来电影台,https://sxj.btjson.us.kg/histar.php?id=videoland-movie
纬来戏剧,https://sxj.btjson.us.kg/histar.php?id=videoland-drama
