新聞,#genre#
鳳凰資訊,https://www.youtube.com/live/HFib76ySpbU
cctv4,https://www.youtube.com/watch?v=bEZYrBMYNNg
環宇財經,https://www.youtube.com/live/25SE1bbTv9k
台視新聞 TTV NEWS,https://www.youtube.com/watch?v=xL0ch83RAK8
大愛電視 Tzu Chi DaAiVideo,https://www.youtube.com/watch?v=DTNkEm6jaqQ
大愛電視 Tzu Chi DaAiVideo,https://www.youtube.com/watch?v=oV_i3Hsl_zg
中視新聞 HD直播頻道｜Taiwan CTV news HD Live,https://www.youtube.com/watch?v=TCnaIE_SAtM
華視新聞 CH52,https://www.youtube.com/live/wM0g8EoUZ_E
華視新聞 CH52,https://www.youtube.com/watch?v=wM0g8EoUZ_E
TTV LIVE 台視直播,https://www.youtube.com/watch?v=uDqQo8a7Xmk
大愛電視 Tzu Chi DaAiVideo,https://www.youtube.com/watch?v=MIqUplvSRWA
鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o
大愛電視 Tzu Chi DaAiVideo,https://www.youtube.com/watch?v=OKvWtVoDR8I
公視台語台,https://www.youtube.com/watch?v=6KlRR_DGhmI
57東森財經新聞,https://www.youtube.com/watch?v=LbS-xQ67fos
三立iNEWS,https://www.youtube.com/watch?v=CKjSm5ZeehE
中天深喉嚨,https://www.youtube.com/watch?v=WPfPjbOLNfE
民視新聞網 Formosa TV News network,https://www.youtube.com/watch?v=ylYJSBUgaMA
新唐人亞太電視台NTDAPTV,https://www.youtube.com/watch?v=WIhgU_mc05A
57東森財經新聞,https://www.youtube.com/watch?v=WHEPzbFA3hw
中天電視,https://www.youtube.com/watch?v=oIgbl7t0S_w
國會頻道,https://www.youtube.com/watch?v=4HysYHJ6GkY
三立LIVE新聞,https://www.youtube.com/watch?v=oZdzzvxTfUY
TVBS NEWS,https://www.youtube.com/watch?v=m_dhMSvUCIc
公視新聞網,https://www.youtube.com/watch?v=quwqlazU-c8
寰宇新聞 頻道,https://www.youtube.com/watch?v=6IquAgfvYmc
公視 網路直播頻道,https://www.youtube.com/watch?v=C6gYqSHLRw4
CTIASIA 中天亞洲台,https://www.youtube.com/watch?v=s2waUruqze4
國會頻道,https://www.youtube.com/watch?v=Lj8OWF6nzcg
國會頻道,https://www.youtube.com/watch?v=IvAXtzx5cUI
國會頻道,https://www.youtube.com/watch?v=Af0TFVbxvAQ
國會頻道,https://www.youtube.com/watch?v=Qo9QwuCpV3s
國會頻道,https://www.youtube.com/watch?v=yUx5lB4mhZk
國會頻道,https://www.youtube.com/watch?v=tDg3bJFYLzI
寰宇新聞 頻道,https://www.youtube.com/watch?v=w87VGpgd90U
寰宇財經新聞,https://www.youtube.com/watch?v=25SE1bbTv9k

運通財經台,https://www.youtube.com/watch?v=7Bwq6Ltrj1o
臨時直播,#genre#
