央视,#genre#
CCTV1综合,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024078203.m3u8
CCTV2财经,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024075403.m3u8
CCTV3综艺,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024068503.m3u8
CCTV4国际,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024078303.m3u8
CCTV5体育,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024078403.m3u8
CCTV5体育,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024078401.m3u8
CCTV5+体育赛事,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024078003.m3u8

CCTV6电影,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024086203.m3u8
CCTV7国防军事,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024072003.m3u8
CCTV8电视剧,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024078503.m3u8
CCTV9记录,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024078603.m3u8
CCTV10科教,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024078702.m3u8
CCTV11戏曲,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024078802.m3u8
CCTV12社会与法,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024078902.m3u8
CCTV13新闻,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024079003.m3u8
CCTV14少儿,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024079102.m3u8
CCTV15音乐,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024079202.m3u8
CCTV16奥林匹克,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024079303.m3u8
CCTV16奥林匹克,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024079302.m3u8

CCTV17农业农村,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024079502.m3u8

CCTV4K超高清,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024081303.m3u8
CCTV4K超高清,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024081302.m3u8
CCTV8K超高清,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2020603421.m3u8
CCTV8K超高清,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2020603401.m3u8
CGTN,#genre#
CGTN,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2022575003.m3u8
CGTN法语,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2022574903.m3u8
CGTN俄语,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2022574803.m3u8
CGTN阿拉伯语,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2022574603.m3u8
CGTN西班牙语,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2022571703.m3u8
CGTN外语纪录,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2022574703.m3u8
精品,#genre#
CCTV兵器科技,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024172103.m3u8
CCTV第一剧场,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024171803.m3u8
CCTV怀旧剧场,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024171903.m3u8
CCTV风云剧场,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024171703.m3u8
CCTV风云音乐,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024163303.m3u8
CCTV风云足球,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2012514203.m3u8
CCTV电视指南,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024172503.m3u8
CCTV女性时尚,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024172203.m3u8
CCTV央视文化精品,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024172303.m3u8
CCTV世界地理,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024172003.m3u8
CCTV高尔夫网球,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024166203.m3u8
CCTV央视台球,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024172403.m3u8
CCTV卫生健康,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024165203.m3u8
卫视,#genre#

北京卫视,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024052702.m3u8
东方卫视,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024054502.m3u8
天津卫视,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2019927003.m3u8
重庆卫视,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024061102.m3u8
黑龙江卫视,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024061002.m3u8
辽宁卫视,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024171302.m3u8
河北卫视,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024171502.m3u8
山东卫视,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024171602.m3u8
安徽卫视,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024171402.m3u8
河南卫视,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024059702.m3u8
湖北卫视,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024171202.m3u8
湖南卫视,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024054802.m3u8
江西卫视,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024061702.m3u8
江苏卫视,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024171102.m3u8
浙江卫视,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024054702.m3u8
东南卫视,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024061502.m3u8
广东卫视,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024060902.m3u8
深圳卫视,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024061302.m3u8
广西卫视,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024060702.m3u8
贵州卫视,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024061602.m3u8
四川卫视,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024061402.m3u8
新疆卫视,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2019927403.m3u8
海南卫视,http://119.176.28.66/outlivecloud-cdn.ysp.cctv.cn/ysp/2024055602.m3u8
